portfolio,mean_n1,std_n1,t_n1,mean_n2,std_n2,t_n2,mean_n3,std_n3,t_n3,mean_n4,std_n4,t_n4
P1,-0.010699911460580143,0.18283453993124651,-0.2957147235557676,0.019155564386163514,0.17386016038217267,0.553112385473929,0.022830812000932434,0.16722935130009758,0.6924859552087772,,,
P2,0.016257549783056064,0.13887745417562522,0.591274164297478,0.025169965106372594,0.13907496201584,0.9168048314300177,0.015357419404001895,0.13622058317803742,0.5579387236063367,,,
P3,-0.02334319538634009,0.15139070169326743,-0.683887898777297,-0.006519772372484061,0.14658725838798767,-0.20002961169339917,-0.006492115648047415,0.1406206148659009,-0.2072932408617048,,,
P4,-0.03959107185878831,0.1601653608808429,-1.0305013106688548,-0.018315123575490665,0.1533686721281368,-0.4824503243762182,-0.021465848641291255,0.14522569077084993,-0.5836325306740959,,,
P4_minus_P1,-0.028891160398208188,0.19286008139806773,-0.7122830138288677,-0.03747068796165419,0.17598983209921834,-1.0230565544986374,-0.04429666064222369,0.16657418041911254,-1.2588065864682483,,,
