portfolio,mean_n1,std_n1,t_n1,mean_n2,std_n2,t_n2,mean_n3,std_n3,t_n3,mean_n4,std_n4,t_n4
P1,-0.023897588080705003,0.17527832209112024,-0.6908393166895936,0.014242685953020097,0.16519801753130087,0.4505706490193952,0.011734160860233905,0.15749977698506032,0.38771921351547695,,,
P2,-0.022113824971975483,0.14195595372683129,-0.7544525477532681,-0.006594535694482303,0.1417480595098593,-0.22592303282900011,-0.009802660955244555,0.13747842803122173,-0.34316793024683295,,,
P3,0.01245354779056599,0.15595536921928896,0.3228283675379112,0.020407237242843733,0.15123220146195862,0.5326122521912557,0.019727027326911017,0.14238364264429432,0.5452917339969957,,,
P4,-0.018329399986113323,0.1617914294035949,-0.45753319317793617,-0.004779848495020559,0.15504489697878135,-0.12328125835208606,-0.008921146110491461,0.14756950816039252,-0.2363514470210926,,,
P4_minus_P1,0.00556818809459168,0.20444106640460644,0.1341730544428268,-0.019022534448040647,0.1899106661961484,-0.506098072416174,-0.02065530697072536,0.17912072350523572,-0.5786684616118274,,,
