portfolio,mean_n2,std_n2,t_n2,mean_n3,std_n3,t_n3,mean_n4,std_n4,t_n4
P1,0.014514469987317966,0.025629678654584574,3.8418404149520486,0.016579691510914596,0.037224447549072975,3.1175490049368024,,,
P2,0.004456207661658264,0.01659667747726232,1.5972124254580142,0.003998361980363446,0.02161686349519903,1.2063104406734027,,,
P3,0.008411711506928017,0.02267349737481215,2.305508913930627,0.010997643428420717,0.026813964556938606,2.58992894027729,,,
P4,0.010965334060242325,0.017246859713778637,3.2187404836579803,0.017568294199125794,0.025812716303006928,3.6772500166196926,,,
P4_minus_P1,-0.0035491359270756412,0.030687047625448306,-0.7770671314953241,0.0009886026882112017,0.04112421900800238,0.20678929184888722,,,
